order,hiragana,kanji,meaning,category,example,romaji,level
496,つめたい,冷たい,cold to the touch,iadj,つめたいのみのもはいかがですか。How about a cold drink?,tsumetai,5
497,つよい,強い,powerful,iadj,きょうは とても かぜが つよいです。It's very windy today.,tsuyoi,5
498,て,手,hand,body,手を みせてください。Please show me your hand.,te,1
499,テープ,,tape,stationery,ここに テープを はってください。Please stick the tape here.,teepu,2
500,テーブル,,table,home,このテーブルを つかってもいいですか。Can I use this table?,teeburu,2
501,テープレコーダー,,tape recorder,manmade,テープレコーダーはいまは ありません。There is no tape recorder now.,teepurekoodaa,2
502,ティッシュペーパー,,tissue,manmade,ティッシュペーパーをいちまい ください。Please give me a piece of tissue paper.,tisshupeepaa,2
503,でかける,出かける,to go out,action,きのうは どこにも でかけませんでした。I didn't go anywhere yesterday.,dekakeru,8
504,てがみ,手紙,letter,stationery,"よくメールは しますが、手紙はかきません。I often email, but I don't write letters.",tegami,2
505,できる,出来る,to be able to,action,わたしは ちゅうごくごと かんこくごも できます。I can also speak Chinese and Korean.,dekiru,9
506,でぐち,出口,exit,places,出口は あちらのドアです。The exit is that door.,deguchi,3
507,テスト,,test,intangible,あしたは かんじのテストがあります。Tomorrow I have a kanji test.,tesuto,2
508,では,,with that...,atomic,では、きょうの レッスンを おわりましょう。So let's finish today's lesson.,dewa,4
509,では,,"Well then, see you again.",sentence,,"dewa,mata",4
510,デパート,,department store,places,デパートに かいものに いきました。I went shopping at a department store.,depaato,3
511,でも,,"but, however",atomic,にちようびです。でも、うちでしごとを します。It's Sunday. But I do work at home.,demo,4
512,でる,出る,"to appear, to leave",action,あしたは あさ 7じに うちを 出ます。I will leave home at 7 am tomorrow.,deru,9
513,テレビ,,television,home,テレビで そのニュースを みました。I saw the news on TV.,terebi,2
514,てんき,天気,weather,nature,きょうは とても いい天気ですね。It's a very nice weather today.,tenki,2
515,でんき,電気,"electricity, electric light",nature,電気を つけても いいですか。Can I turn on the light?,denki,2
516,でんしゃ,電車,electric train,transport,電車は すこし こんでいました。The train was a little crowded.,densha,1
517,でんわ,電話,telephone,home,きのう ははから 電話が ありました。I got a call from my mother yesterday.,denwa,2
518,でんわします,電話をします,"call, ring",action,たまに かぞくに 電話します。I call my family once in a while.,denwashimasu,9
519,でんわばんごう,電話番号,telephone number,intangible,ここに 電話ばんごうをかいてください。Please write your phone number here.,denwabangou,2
520,と,戸,Japanese style door,home,とが あいています。The door is open.,to,2
521,ど,土,Saturday = どようび。,time,"5がつ16にち（ど）に にほんに いきます。I will go to Japan on Saturday, May 16th.",do,4
522,ドア,,Western style door,home,みぎがわのドアがあきます。The door on the right opens.,doa,2
523,トイレ,,toilet,places,トイレを かりても いいですか。Can I use the toilet?,toire,3
524,トイレットペーパー,,toilet paper,home,トイレットペーパーがありません！There is no toilet paper!,toirettopeepaa,2
525,どう,,"how, in what way",atomic,きのうの テストは どうでしたか。How was your test yesterday?,dou,4
526,どういたしまして。,,"You are welcome., Not at all.",sentence,,douitashimashite,4
527,とうきょう,東京,Tokyo,places,"とうきょうは おもしろい ところですね。Tokyo is an interesting place, isn't it?",Toukyou,3
528,どうして,,for what reason,atomic,どうして きのう やすみましたか。Why did you take a day off yesterday?,doushite,4
529,どうぞ,,please,sentence,,douzo,4
530,とうふ,豆腐,tofu,food,とうふ を たべたことが ありますか。Have you ever eaten tofu?,toufu,3
531,どうぶつ,動物,animal,nature,どうぶつえんに いろいろな どうぶつが います。There are various animals in the zoo.,doubutsu,2
532,どうも,,thanks,sentence,,doumo,4
533,どうもありがとう。,,Thanks a lot.,sentence,,doumoarigatou,4
534,とお,十,ten,unit,"ひとつ、ふたつ、みっつ、よっつ、いつつ、むっつ、ななつ、やっつ、ここのつ、十。One, two, three, four, five, six, seven, eight, nine, ten.",too,6
535,とおい,遠い,far,iadj,えきは ここから すこし とおいです。The station is a little far from here.,tooi,5
536,とおか,十日,"ten days, the tenth day",unit,きょうは 十日です。Today is the 10th.,tooka,6
537,とおく,遠く,"distantly, far [noun]",direction,りょうしんは とおくに すんでいます。My parents live far away.,tooku,2
538,ときどき,時々,sometimes,atomic,ときどき じぶんで りょうりを つくります。Sometimes I cook myself.,tokidoki,4
539,とけい,時計,"watch, clock",home,ともだちに かわいい とけいを プレゼントしました。I gave my friend a cute clock as a gift.,tokei,2
540,どこ,,where,direction,おてあらいは どこですか。Where is the restroom?,doko,2
541,どこか,何処か,somewhere,direction,どこかで ランチを たべませんか。Would you like to have lunch somewhere?,dokoka,3
542,ところ,所,place,places,どんな ところに すみたいですか。What kind of place do you want to live in?,tokoro,4
543,とし,年,year,unit,,Toshi,6
544,としょかん,図書館,library,places,わたしは ほとんど としょかんに いきません。I rarely go to the library.,toshokan,4
545,どっち,何方,which,atomic,"コーヒーとこうちゃ、どちがいいですか。Which would you like, coffee or tea? どちらからですか。Where are you from? どちらが いいですか。Which one would you like to choose?",dotchi,4
546,とても,,very,atomic,きょうは とても たのしかったです。I had a lot of fun today.,totemo,4
547,どなた,何方,who,atomic,この しゃしんの ひとは どなた ですか。Who is the person in this photo?,donata,4
548,となり,隣,next door to,direction,となりに すわってもいいですか。Can I sit next to you?,tonari,3
549,どの,,which,atomic,どのアプリを いちばん よく つかいますか。Which app do you use the most?,dono,4
550,とぶ,飛ぶ,"to fly, to hop",action,とりが たくさん とんでいます。A lot of birds are flying.,tobu,9
551,とまる,止まる,to come to a halt,action,このでんしゃは しぶやえきに とまりますか。Does this train stop at Shibuya Station?,tomaru,9
552,ともだち,友達,friend,people,きのうは 友だちと オンラインで はなしました。I talked online with my friends yesterday.,tomodachi,4
553,どようび,土曜日,Saturday,time,こんしゅうの 土よう日はやすみです。This Saturday is closed.,doyoubi,4
554,とり,鳥,bird,nature,きの うえに ちいさいとりが たくさん います。There are many small birds on the tree.,tori,2
555,とりにく,とり肉,chicken meat,nature,とりにくを よく たべます。I often eat chicken.,toriniku,2
556,とる,取る,to take something,action,すみません。こしょうをとってください。Excuse me. Could you pass the pepper?,toru,9
557,とる,撮る,to take a photo or record a film,action,きょうとで たくさん きれいな しゃしんを とりました。I took a lot of beautiful pictures in Kyoto.,toru,9
558,どれ,,which (of three or more),atomic,おすすめは どれですか。Which is your recommendation?,dore,5
559,どんな,,what kind of ...,atomic,どんな ものを たべたいですか。What kind of food do you want to eat?,donna,5
560,ナイフ,,knife,home,フォークと ナイフで ステーキを たべます。I eat steak with a fork and knife.,naifu,2
561,なか,中,middle,direction,ポケットの 中に ティッシュが あります。There is tissue in my pocket.,naka,3
562,ながい,長い,long,iadj,このえいがは とても 長いです。This movie is very long.,nagai,5
563,なく,鳴く,"animal noise. to chirp, roar or croak etc.",action,たくさんの とりが ないています。Many birds are singing.,naku,9
564,なくす,無くす,to lose something,action,,nakusu,9
565,なぜ,,why,atomic,,naze,5
566,なつ,夏,summer,nature,いちねんの なかで なつが いちばん すきです。I like summer the best of the year.,Natsu,2
567,なつやすみ,夏休み,summer holiday,time,,natsuyasumi,4
568,など,,et cetera,atomic,"バッグの なかに スマホや サイフなどが あります。There are smartphones, wallets and other things in the bag.",nado,5
569,ななつ,七つ,seven,unit,"このドーナツを 七つ ください。7 of these donuts, please.",nanatsu,6
570,なに,何,what,atomic,しゅうまつは 何を しましたか。What did you do on the weekend?,nani,5
571,なにか,何か,something,atomic,何か つめたい のみものは いかがですか。How about some cold drink?,nanika,5
572,なのか,七日,"seven days, the seventh day",unit,きょうは 七日です。Today is the 7th.,nanoka,6
573,なまえ,名前,name,people,こちらに 名前と じゅうしょを かいてください。Please write your name and address here.,namae,4
574,ならう,習う,to learn,action,ははに りょうりを ならいました。I learned cooking from my mother.,narau,9
575,ならぶ,並ぶ,"to line up, to stand in a line",action,みせの そとで 30ぷん ならびました。I lined up outside the store for 30 minutes.,narabu,10
576,ならべる,並べる,"to line up, to set up",action,テーブルの うえに おさらを ５まい ならべます。I line up five dishes on the table.,naraberu,10
577,なる,成る,to become,action,こどもは らいげつ 5さいに なります。My child will be 5 years old next month.,naru,10
578,なん,何,what,atomic,このスイッチは 何ですか。What is this switch?,,5
579,なん/なに,何,what,atomic,,nan/nani,5
580,なんじ,何時,what time,time,あしたは 何時にどこであいましょうか。What time and where will we meet tomorrow?,nanji,4
581,なんにち,何日,which day of the month,time,きょうは 何日ですか。What day is it today?,nannichi,4
582,に,二,two,unit,"三、二、一 スタート！  Three, two, one start!",ni,7
583,にぎやか,賑やか,"bustling, busy",naadj,"ここは にぎやなかな レストランですね。This is a lively restaurant, isn't it?",nigiyaka,2
584,にく,肉,meat,food,"さかなと にく、どちらがいいですか。Which do you prefer, fish or meat?",niku,3
585,にし,西,west,direction,西は こっちです。West is this direction.,nishi,3
586,にち,日,Sunday = にちようび。,time,たんじょうびは  5がつ 17にちです。My birthday is May 17th.,nichi,5
587,にちようび,日曜日,Sunday,time,こんどの 日よう日の おひるごろに あいましょうか。Shall we meet next Sunday around noon?,nichiyoubi,5
588,にねん,,two years,unit,わたしは にほんに きて もう 二年です。I have been in Japan for two years now.,ninen,7
589,にほん,日本,Japan,places,１ねんまえから 日本で しごとを しています。I have been working in Japan for a year.,Nihon,4
590,にほんご,日本語,Japanese language,intangible,はんとしまえから日本語を べんきょうしています。I have been studying Japanese for half a year.,Nihongo,2
591,にもつ,荷物,luggage,wearables,ここに にもつを おいても いいですか。Can I put my luggage here?,nimotsu,2
592,ニュース,,news,intangible,よく インターネットで ニュースを みます。I often watch the news on the internet.,nyuusu,2
593,にわ,庭,garden,places,にわに いぬが 2ひき います。There are two dogs in the yard.,niwa,4
594,ぬぐ,脱ぐ,to take off clothes,action,いつも ここで くつを ぬぎます。I always take off my shoes here.,nugu,10
595,ぬる,塗る,paint,action,テーブルを しろく ぬります。I paint the table white.,nurimasu,10
596,ぬるい,温い,luke warm,iadj,,nurui,5
597,ネクタイ,,"tie, necktie",wearables,わたしは ネクタイが 30ぽんぐらい あります。I have about 30 ties.,nekutai,2
598,ねこ,猫,cat,nature,,neko,2
599,ねる,寝る,"to go to bed, to sleep",action,いつも 12じごろに ねます。I always go to bed around 12 o'clock.,neru,10
600,ノート,,"notebook, exercise book",stationery,じぶんの ノートに かいてください。Write it in your notebook.,nooto,2
601,のぼる,登る,to climb,action,なつに ともだちと ふじさんにのぼります。I will climb Mt. Fuji with my friends this summer.,Noboru,10
602,のみもの,飲み物,a drink,food,飲みものは なにが いいですか。What do you like for a drink?,nomimono,3
603,のむ,飲む,to drink,action,まいにち コーヒーを ３ばいぐらい 飲みます。I drink about 3 cups of coffee every day.,nomu,10
604,のる,乗る,"to get on, to ride",action,うちの ちかくから えきまで バスに のります。I take a bus from near my house to the station.,noru,10
605,は,歯,tooth,body,きょうは すこし はが いたいです。I have a slight toothache today.,wa,1
606,パーティー,,party,activity,こんばん ともだちのうちで パーティーが あります。I have a party at my friend's house tonight.,paatii,2
607,はい,,yes,sentence,,hai,4
608,はいざら,灰皿,ashtray,manmade,すみません。はいざらがありますか。Excuse me. Do you have an ashtray?,haizara,2
609,はいる,入る,"to enter, to contain",action,いつも  このいりぐちから なかに 入ります。I always enter through this entrance.,hairu,10
610,はがき,葉書,postcard,stationery,ゆびんきょくで はがきを 10まい かいました。I bought 10 postcards at the post office.,hagaki,2
611,はく,佩く,"to wear, to put on trousers",action,いつも ここで くつを はきます。I always put on shoes here.,haku,11
612,はこ,箱,box,stationery,はこの なかに くるまの かぎが あります。There is a car key in the box.,hako,2
613,はし,橋,bridge,places,あの おおきい はしを あるいて わたります。I walk across a large bridge.,hashi,4
614,はし/おはし,,chopsticks,home,おはしで おすしを たべます。I eat sushi with chopsticks.,hashi/ohashi,2
615,はじまる,始まる,to begin,action,らいしゅうから にほんごのレッスンがはじまります。Japanese lessons will start next week.,hajimaru,11
616,はじめ,初め/始め,beginning,time,"はじめに ひらがなと カタカナを べんきょうしました。First, I studied hiragana and katakana.",hajime,5
617,はじめて,初めて,for the first time,unit,きょねん はじめて ふじさんをみました。I saw Mt. Fuji for the first time last year.,hajimete,7
618,はじめまして。,,Nice to see you.,sentence,,hajimemashite,4
619,はしる,走る,to run,action,,hashiru,11
620,バス,,bus,transport,うちから がっこうまでバスで 20ぷんです。20 minutes by bus from my house to school.,basu,1
621,バスがいしゃ,,"bus agency, bus company",intangible,いもうとは バス会社に つとめています。My sister works for a bus company.,basugaisha,2
622,バスてい,バス停,bus stop,transport,このちかくに バスていが ありますか。Is there a bus stop near here?,basutei,1
623,バスりょこう,,"bus tour, bus trip",activity,わたしの ちちと ははは バスりょこうが すきです。My dad and mom love bus trips.,basuryokou,2
624,バター,,butter,food,パンに バターを ぬります。I spread butter on bread.,bataa,3
625,はたち,二十歳,"20 years old, 20th year",unit,おとうとは らいげつ はたちに なります。My brother will be 20 next month.,hatachi,7
626,はたらく,働く,to work,action,こんしゅうは しゅうまつも はたらきます。This week I also work on weekends.,hataraku,11
627,はち,八,eight,unit,八人で りょこうに いきました。I went on a trip with 8 people.,hachi,7
628,はつか,二十日,"twenty days, twentieth",unit,きょうは 二十日です。Today is the 20th.,watsuka,7
629,はな,花,flower,nature,,Hana,2
630,はな,鼻,nose,body,わたしは はなが ひくいです。I have a low nose.,Hana,1
631,はなし,話,"talk, story",intangible,せんせいから おもしろい話を ききました。I heard an interesting story from the teacher.,hanashi,2
632,はなす,話す,to speak,action,よく ともだちと にほんごを 話します。I often speak Japanese with my friends.,hanasu,11
633,はは,母,(my) mother,people,ときどき 母に メールします。I email my mother sometimes.,haha,4
634,はやい,早い,early,iadj,あさ 4じはんは はやいです。4:30 in the morning is early.,hayai,5
635,はやい,速い,quick,iadj,,hayai,5
636,はる,春,spring,nature,はなが すきですから、はるがすきです。I like spring because I like flowers.,haru,2
637,はる,貼る,to stick,action,,haru,11
638,はる,張る,"stick, put something on",action,ふうとうに きってを はります。I put a stamp on the envelope.,harimasu,11
639,はれ,晴れ,clear weather,nature,あしたは たぶん はれです。It will probably be sunny tomorrow.,hare,2
640,はれる,晴れる,to be sunny,action,ごごは たぶん はれます。It will probably be sunny in the afternoon.,hareru,11
641,はん,半,half,unit,いま 9じ半です。It's 9:30 now.,han,7
642,ばん,晩,evening,atomic,"１ばん、２ばん、３ばん・・・  No.1, No.2, No.3 ...",ban,5
643,パン,,bread,food,あさは ふつう パンを たべます。I usually eat bread in the morning.,pan,3
644,ハンカチ,,handkerchief,manmade,ポケットの なかに ハンカチが あります。There is a handkerchief in my pocket.,hankachi,2
645,ばんごう,番号,number,unit,でんわばんごうはなんばんですか。What is your phone number?,bangou,7
646,ばんごはん,晩御飯,evening meal,food,こんばんは うちで ばんごはんを たべます。I'll have dinner at home tonight.,bangohan,3
647,はんぶん,半分,half minute,unit,きのうのよる 半分だけ しゅくだいを しました。I did my homework only half last night.,hanbun,7
648,パンや,,bakery,places,えきの なかに おいしい パンやが あります。There is a delicious bakery inside the station.,panya,4
649,ひ,日,day,unit,きょうは とても いい日でした。Today was a very good day.,hi,7
650,ひがし,東,east,direction,東は あっちです。East is that direction.,higashi,3
651,ひく,弾く,"to play an instrument with strings, including piano",action,ときどき ギターを ひきます。I play the guitar sometimes.,hiku,11
652,ひく,引く,to pull,action,おかねを いれて、レバーをひきます。Put some money and pull the lever.,hiku,11
653,ひくい,低い,"short, low",iadj,いもうとは せが ひくいです。My sister is short.,hikui,5
654,ひこうき,飛行機,aeroplane,transport,ひこうきの よやくを しました。I made a reservation for an airplane.,hikouki,1
655,ひだり,左,left hand side,direction,つぎの しんごうを 左に まがってください。Turn left at the next traffic light.,hidari,3
656,ひと,人,person,unit,こうえんに 人が たくさん います。There are many people in the park.,hito,8
657,ひとつ,一つ,one,unit,すみません。これを一つ ください。Excuse me. Please give me this one.,hitotsu,8
658,ひとつき,一月,one month,unit,にほんに きて 一月です。It's been a month since I came to Japan.,hitotsuki,8
659,ひとり,一人,one person,unit,ことしの なつは 一人で りょこうに いきます。I'm going on a trip alone this summer.,hitori,8
660,ひま,暇,free time,naadj,こんしゅうまつは ひまです。I'm free this weekend.,hima,2
661,ひゃく,百,hundred,unit,これは どれでも ひとつ 百えんです。Each one costs 100 yen.,hyaku,8
662,びょういん,病院,hospital,places,つきに １かい びょういんに いきます。I go to the hospital once a month.,byouin,4
663,びょうき,病気,illness,intangible,ははは いま びょうきです。My mother is sick now.,byouki,2
664,ひらがな,平仮名,Hiragana,intangible,ひらがなで かきます。I write in hiragana.,hiragana,2
665,ひる,昼,"noon, daytime",time,あしたの 昼は うちに います。I'll be at home tomorrow noon.,hiru,5
666,ビル,,building,intangible,たかい ビルが たくさん あります。There are many tall buildings.,biru,2
667,ひるごはん,昼御飯,midday meal,food,ともだちと 昼ごはんを たべました。I ate lunch with my friends.,hirugohan,3
668,ひろい,広い,"spacious, wide",iadj,このへやは とても 広いです。This room is very large.,hiroi,5
669,プール,,swimming pool,places,"きのう プールで 1,000メートル およぎました。I swam 1,000 meters in the pool yesterday.",puuru,4
670,フィルム,,roll of film,manmade,カメラに フィルムを いれます。I put the film in the camera.,firumu,2
671,ふうとう,封筒,envelope,stationery,ふうとうの なかに チケットを いれます。I put the ticket in the envelope.,fuutou,2
672,フォーク,,fork,home,フォークとナイフでステーキを たべます。I eat steak with a fork and knife.,fooku,2
673,ふく,吹く,blow,action,そとは すごい かぜが ふいています。There is a terrible wind outside.,fuku,12
674,ふく,吹く,to blow,wearables,あたらしい ふくを たくさん かいました。I bought a lot of new clothes.,fuku,2
675,ふく,服,clothes,wearables,あたらしい ふくを たくさん かいました。I bought a lot of new clothes.,fuku,2
676,ふたつ,二つ,two,unit,このパンを 二つ ください。Please give me two of these breads.,futatsu,8
677,ぶたにく,豚肉,pork,food,わたしは ぶたにくを たべません。I don't eat pork.,butaniku,3
678,ふたり,二人,two people,unit,わたしは こどもが 二人 います。I have two children.,futari,8
679,ふつか,二日,"two days, second day of the month",time,きょうは 二日です。Today is 2nd.,futsuka,5
680,ふとい,太い,fat,iadj,ふといペンで じゅうしょを かきます。I write my address with a thick pen.,futoi,5
681,ふゆ,冬,winter,nature,まいとし ふゆに スキーに  いきます。I go skiing every winter.,fuyu,2
682,ふる,降る,"to fall, e.g. rain or snow",action,たぶん こんばんは あめが ふります。Maybe it will rain tonight.,furu,12
683,ふるい,古い,old (not used for people),iadj,これは 古いカメラです。This is an old camera.,furui,6
684,ふろ,風呂,bath,activity,まいにち おふろに はいります。I take a bath every day.,furo,2
685,ぶん,分,sentence,intangible,ながい 文を かいてください。Please write a long sentence.,bun,2
686,ぶんしょう,文章,"sentence, text",intangible,つぎの ぶんしょうを よんで、しつもんにこたえてください。Please read the following sentences and answer the questions.,bunshou,2
687,ページ,頁,page,unit,13ページを みてください。Please look at page 13.,peeji,8
688,へた,下手,unskillful,naadj,わたしは うたが へたです。I'm not good at singing.,heta,2
689,ベッド,,bed,home,ベッドの したに ねこが います。There is a cat under the bed.,beddo,2
690,ペット,,pet,nature,,petto,2
691,へや,部屋,room,places,この へやは ひろいですね。This room is large.,heya,4
692,へん,辺,area,direction,このへんにATMが ありますか。Is there an ATM near here?,hen,3
693,ペン,,pen,stationery,ここに なまえを ペンで かいてください。Please write your name here with a pen.,pen,2
694,べんきょうする,勉強,to study,action,まいにち うちで にほんごを べんきょうします。I will study Japanese at home every day.,benkyousuru,12
695,べんり,便利,"useful, convenient",naadj,このアプリは とても べんりです。This app is very useful.,benri,2
696,ボールペン,,ball-point pen,stationery,ボールペンを もっていますか。Do you have a ballpoint pen?,boorupen,2
697,ぼうし,帽子,hat,wearables,さむいひは ぼうしを かぶります。I wear a hat on cold days.,boushi,2
698,ほか,,"other, the rest",atomic,ほかの ひは  どうですか。How about the other day?,hoka,5
699,ぼく,僕,"I (generally young boys, but some adult use as a style)",people,ぼくは 13さいです。I am 13 years old.,boku,4
700,ポケット,,pocket,wearables,ポケットの なかに けいたいでんわがあります。I have a mobile phone in my pocket.,poketto,2
701,ほしい,欲しい,want,iadj,あたらしいカメラがほしいです。 I want a new camera.,hoshii,6
702,ポスト,,post,manmade,,posuto,2
703,ほそい,細い,thin,iadj,ほそいペンで イラストを かきます。Draw an illustration with a thin pen.,hosoi,6
704,ボタン,,button,wearables,このシャツは ボタンが ひとつ ありません。This shirt doesn't have one button.,botan,2
705,ホテル,,hotel,places,ホテルで おいしい ひるごはんを たべました。I had a delicious lunch at the hotel.,hoteru,4
706,ほん,本,book,unit,しゅうに ３さつぐらい 本を よみます。I read about 3 books a week.,hon,8
707,ほんだな,本棚,bookshelves,home,ほんだなに本が 200さつぐらい あります。There are about 200 books on the bookshelf.,hondana,2
708,ほんとう,本当,truth,atomic,ほんとうですか。しりませんでした。Is it true? I did not know that.,hontou,5
709,ほんや,本屋,bookshop,places,５かいに おおきい ほんやが あります。There is a large bookstore on the 5th floor.,honya,4
710,まいあさ,毎朝,every morning,time,毎朝 コーヒーを ２はい のみます。I drink two cups of coffee every morning.,maiasa,5
711,まいげつ/まいつき,毎月,every month,time,毎月 ホンコンに しゅっちょうします。I go on a business trip to Hong Kong every month.,maigetsu/Maitsuki,5
712,まいしゅう,毎週,every week,time,毎週 げつようびに ジムに いきます。I I go to the gym in my neighborhood every week.,maiShuu,5
713,まいにち,毎日,every day,time,へいじつは毎日 7じはんに おきます。I wake up at 7:30am every weekday.,mainichi,5
714,まいねん/まいとし,毎年,every year,time,毎年 ８がつと 12がつに りょこうを します。I travel every August and December.,mainen/Maitoshi,5
715,まいばん,毎晩,every night,time,毎ばん １じかんぐらい ゲームをします。I play games for about an hour every night.,maiban,6
716,まえ,前,before,unit,2ねん前に にほんに きました。I came to Japan two years ago. before ... レッスンの 前に トイレに いきます。Go to the bathroom before the lesson.,mae,8
717,まがる,曲る,"to turn, to bend",action,２つめの かどを みぎに まがります。Turn right at the second corner.,magaru,12
718,まずい,不味い,unpleasant,iadj,このりょうりは ほんとうに まずいです。This dish is really bad.,mazui,6
719,また,,"again, and",atomic,"じゃ、また らいしゅう！ Then, see you next week!",mata,5
720,まだ,未だ,"yet, still",atomic,"「もう おわりましたか」「まだです」""Have you finished yet?""""Not yet.""",mada,5
721,まち,町,"town, city",places,わたしたちは このまちが すきです。We like this town.,machi,4
722,まつ,待つ,to wait,action,ここで  タクシーを まちます。I'll wait for a taxi here.,Matsu,12
723,まっすぐ,真っ直ぐ,"straight ahead, direct",naadj,このみちを 100mぐらい まっすぐ いきます。Go straight on this road for about 100m.,massugu,2
724,マッチ,,match,manmade,たぶん うちに マッチは ありません。There is probably no match at home.,matchi,2
725,まど,窓,window,home,このまどを あけても いいですか。Is it okay to open this window?,Mado,2
726,まるい,丸い/円い,"round, circular",iadj,まるいテーブルをかいたいです。I want to buy a round table.,marui,6
727,まん,万,ten thousand,unit,"このタブレットは 5万えんで かいました。I bought this tablet for 50,000 yen.",man,9
728,まんねんひつ,万年筆,fountain pen,stationery,たかい まんねんひつを ３ぼん もっています。I have three expensive fountain pens.,mannenhitsu,2
729,みがく,磨く,"to brush teeth, to polish",action,しょくじのあとで はを みがきます。I will brush after the meal.,migaku,12
730,みぎ,右,right side,direction,つぎの かどを 右に まがります。Turn right at the next corner.,migi,3
731,みじかい,短い,short,iadj,みじかいえいがを３ぼん みました。I watched 3 short movies.,mijikai,6
732,みず,水,water,nature,つめたい水を ください。Please give me cold water.,mizu,2
733,みせ,店,shop,places,この店の やきとりは さいこうです。The yakitori in this shop is the best.,mise,4
734,みせる,見せる,to show,action,いりぐちで チケットを 見せます。I will show them the ticket at the entrance.,miseru,12
735,みち,道,street,direction,この道を まっすぐ いってください。Please go straight on this road.,michi,3
736,みっか,三日,"three days, third day of the month",unit,きょうは 三日です。Today is the 3rd.,mikka,9
737,みっつ,三つ,three,unit,このふくは ポケットが 三つ あります。This cloth has three pockets.,mittsu,9
738,みどり,緑,green,color,,midori,1
